id,title,section,level,overview,tags
ko-1,Azure Machine Learning Intermediate,"Professional Skills,Intermediate",Beginner,Learn Azure Machine Learning Intermediate in data science,"azure, learning, machine"
ko-2,Data Types And Data Structures Image Data Definition And Use Cases,"Professional Skills,Intermediate",Beginner,Learn Data Types And Data Structures Image Data Definition And Use Cases in data science,"image, images, pixel"
ko-3,Model Validation   Stratified Crossvalidation (1),"Professional Skills,Intermediate",Beginner,Learn Model Validation   Stratified Crossvalidation (1) in data science,"validation, loo, model"
ko-4,Aws Security  Best Practices For Data Science Projects (1),"Professional Skills,Intermediate",Beginner,Learn Aws Security  Best Practices For Data Science Projects (1) in data science,"aws, security, iam"
ko-5,"Data Types And Data Structures Data Structures Lists, Dictionaries,Tuples","Professional Skills,Intermediate",Beginner,"Learn Data Types And Data Structures Data Structures Lists, Dictionaries,Tuples in data science","python, code, key"
ko-6,"Using Row Number, Rank, And Dense Rank","Professional Skills,Intermediate",Beginner,"Learn Using Row Number, Rank, And Dense Rank in data science","sql, rank, ranking"
ko-7,Model Evaluation And Deployment Data Handling Data Augmentation For Imbal,"Professional Skills,Intermediate",Beginner,Learn Model Evaluation And Deployment Data Handling Data Augmentation For Imbal in data science,"augmentation, smote, imbalanced"
ko-8,Database Design,"Professional Skills,Intermediate",Beginner,Learn Database Design in data science,"database, design, tables"
ko-9,Understanding Polymorphism In Python,"Professional Skills,Intermediate",Beginner,Learn Understanding Polymorphism In Python in data science,"python, polymorphism, https"
ko-10,"Handling Nulls In Sql  Coalesce, Ifnull","Professional Skills,Intermediate",Beginner,"Learn Handling Nulls In Sql  Coalesce, Ifnull in data science","null, sql, coalesce"
ko-11,Knowledge Object  Sql Joins (Intermediate Level),"Professional Skills,Intermediate",Beginner,Learn Knowledge Object  Sql Joins (Intermediate Level) in data science,"sql, join, joins"
ko-12,Aggregation In Sql,"Professional Skills,Intermediate",Beginner,Learn Aggregation In Sql in data science,"sql, aggregation, functions"
ko-13,Data Types And Data Structures Handling Complex Data Types (Geospatial,"Professional Skills,Intermediate",Beginner,Learn Data Types And Data Structures Handling Complex Data Types (Geospatial in data science,"video, audio, geospatial"
ko-14,Sql Window Functions,"Professional Skills,Intermediate",Beginner,Learn Sql Window Functions in data science,"window, functions, sql"
ko-15,Model Evaluation And Deployment Data Handling   Handling Imbalanced Datasets,"Professional Skills,Intermediate",Beginner,Learn Model Evaluation And Deployment Data Handling   Handling Imbalanced Datasets in data science,"class, minority, model"
